GPS Time,SatPRN (ID),Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt,Bias
2024-04-13T16:52:19.418698+00:00,G02,14591866.966557112,-5125610.266319888,22056116.95658494,22792039.017682195,47.2,4436887.095680861,3085287.5192312393,3376319.541515054,32.16880033201476,34.813674054924796,54.458584242500365,-0.2695875009399758
2024-04-13T16:52:19.418698+00:00,G03,23173479.482240584,-12102446.045672685,4147832.625594413,24131358.534740735,44.3,4436887.095680861,3085287.5192312393,3376319.541515054,32.16880033201476,34.813674054924796,54.458584242500365,-0.2695875009399758
2024-04-13T16:52:19.418698+00:00,G08,24944545.530409124,4723196.893046651,8404084.294735465,21178412.136658646,50.7,4436887.095680861,3085287.5192312393,3376319.541515054,32.16880033201476,34.813674054924796,54.458584242500365,-0.2695875009399758
2024-04-13T16:52:19.418698+00:00,G10,-1422253.478673378,17205202.58820848,20295954.526775006,22802966.663672205,36.2,4436887.095680861,3085287.5192312393,3376319.541515054,32.16880033201476,34.813674054924796,54.458584242500365,-0.2695875009399758
2024-04-13T16:52:19.418698+00:00,G21,15717806.50748737,1649481.8821763806,21896290.070443552,21732699.375334933,44.1,4436887.095680861,3085287.5192312393,3376319.541515054,32.16880033201476,34.813674054924796,54.458584242500365,-0.2695875009399758
2024-04-13T16:52:19.418698+00:00,G27,23134798.299755145,13296734.952176219,-2727530.9775311192,22161735.16137114,43.2,4436887.095680861,3085287.5192312393,3376319.541515054,32.16880033201476,34.813674054924796,54.458584242500365,-0.2695875009399758
2024-04-13T16:52:19.418698+00:00,G28,5190524.141343625,25780713.095625866,-3750984.7821385763,23800201.24902511,38.1,4436887.095680861,3085287.5192312393,3376319.541515054,32.16880033201476,34.813674054924796,54.458584242500365,-0.2695875009399758
2024-04-13T16:52:19.418698+00:00,G32,8004524.969909515,17928069.811361097,18190163.98179976,21271716.472752698,42.2,4436887.095680861,3085287.5192312393,3376319.541515054,32.16880033201476,34.813674054924796,54.458584242500365,-0.2695875009399758
2024-04-13T16:52:20.418698+00:00,G02,14592304.580027768,-5122959.862970568,22056477.773290534,22791560.25545099,47.6,4436886.100783765,3085284.0616448238,3376320.557039677,32.16882148334206,34.8136499803045,52.63690708950162,-13.213591157274648
2024-04-13T16:52:20.418698+00:00,G03,23173144.851224016,-12101962.982488178,4151008.9555503884,24130882.15016987,44.8,4436886.100783765,3085284.0616448238,3376320.557039677,32.16882148334206,34.8136499803045,52.63690708950162,-13.213591157274648
2024-04-13T16:52:20.418698+00:00,G08,24945418.424417596,4723865.152570108,8401196.8474223,21178611.80900284,51.8,4436886.100783765,3085284.0616448238,3376320.557039677,32.16882148334206,34.8136499803045,52.63690708950162,-13.213591157274648
2024-04-13T16:52:20.418698+00:00,G10,-1424413.5119917523,17206531.817258596,20294631.996999994,22803346.797920316,38.0,4436886.100783765,3085284.0616448238,3376320.557039677,32.16882148334206,34.8136499803045,52.63690708950162,-13.213591157274648
2024-04-13T16:52:20.418698+00:00,G21,15718230.65578289,1652110.6281089815,21895876.27374978,21732380.07077358,44.9,4436886.100783765,3085284.0616448238,3376320.557039677,32.16882148334206,34.8136499803045,52.63690708950162,-13.213591157274648
2024-04-13T16:52:20.418698+00:00,G27,23134418.74395557,13296813.731150793,-2730657.68200507,22162302.362566903,43.4,4436886.100783765,3085284.0616448238,3376320.557039677,32.16882148334206,34.8136499803045,52.63690708950162,-13.213591157274648
2024-04-13T16:52:20.418698+00:00,G28,5190297.342903983,25781212.273909174,-3747855.105153496,23799715.255928084,38.3,4436886.100783765,3085284.0616448238,3376320.557039677,32.16882148334206,34.8136499803045,52.63690708950162,-13.213591157274648
2024-04-13T16:52:20.418698+00:00,G32,8002427.067206227,17927217.899219863,18191927.459506024,21271987.78860179,43.1,4436886.100783765,3085284.0616448238,3376320.557039677,32.16882148334206,34.8136499803045,52.63690708950162,-13.213591157274648
2024-04-13T16:52:21.418698+00:00,G02,14592742.360147364,-5120309.446315745,22056838.140255928,22791087.775298174,46.7,4436874.690029106,3085286.0996386064,3376312.8981457097,32.1688024129557,34.813736788030404,41.61391309462488,-34.25796094835894
2024-04-13T16:52:21.418698+00:00,G03,23172809.915852107,-12101479.67473145,4154185.1962405485,24130409.08114038,45.3,4436874.690029106,3085286.0996386064,3376312.8981457097,32.1688024129557,34.813736788030404,41.61391309462488,-34.25796094835894
2024-04-13T16:52:21.418698+00:00,G08,24946291.02859182,4724533.211462991,8398309.225013707,21178815.07609189,51.1,4436874.690029106,3085286.0996386064,3376312.8981457097,32.1688024129557,34.813736788030404,41.61391309462488,-34.25796094835894
2024-04-13T16:52:21.418698+00:00,G10,-1426573.3289631158,17207861.090288807,20293309.039628055,22803734.121658135,37.3,4436874.690029106,3085286.0996386064,3376312.8981457097,32.1688024129557,34.813736788030404,41.61391309462488,-34.25796094835894
2024-04-13T16:52:21.418698+00:00,G21,15718654.952934412,1654739.2874807492,21895462.033861294,21732065.303268835,46.9,4436874.690029106,3085286.0996386064,3376312.8981457097,32.1688024129557,34.813736788030404,41.61391309462488,-34.25796094835894
